AQM r3000, AQM r5000, AQM noxevent, AQM r2000, AQM coevent, GPS system_time, GPS gps_time, GPS latitude, GPS longitude 
91,17,72,15,3,2018-03-13 15:27:35.218060,15:27:34,52.50990916666667,13.302273833333333
78,14,54,13,3,2018-03-13 15:23:22.537905,15:23:22,52.509946,13.280942
141,26,60,21,60,2018-03-13 15:31:52.843323,15:31:52,52.519004833333334,13.288808166666666
182,32,51,25,3,2018-03-13 15:32:54.910356,15:32:54,52.52025283333333,13.2827105
491,63,83,43,3,2018-03-13 15:52:04.129612,15:52:03,52.55584316666667,13.383308333333334
183,65,66,44,3,2018-03-13 15:59:37.367345,15:59:37,52.55378833333333,13.412388333333332
333,70,78,47,3,2018-03-13 16:00:39.431739,16:00:39,52.5534455,13.416130833333334
295,74,95,50,3,2018-03-13 16:03:54.468016,16:03:54,52.55143233333333,13.429122333333334
450,70,111,48,3,2018-03-13 16:04:56.353170,16:04:56,52.55155333333333,13.430457666666667
109,123,61,62,93,2018-03-13 21:07:15.875537,22:31:10,52.55585133333334,13.439859333333333
78,12,56,10,3,2018-03-14 10:36:53.908302,10:36:53,52.539288166666665,13.444360833333333
79,10,61,10,3,2018-03-14 10:39:01.894705,10:39:01,52.54370566666667,13.432686166666667
95,13,72,10,3,2018-03-14 10:40:08.072836,10:40:07,52.545792166666665,13.428253333333334
72,10,63,10,3,2018-03-14 10:42:14.361928,10:42:14,52.550785166666664,13.43012
178,12,196,10,3,2018-03-14 10:43:16.654735,10:43:16,52.55397383333333,13.429824
165,34,59,18,3,2018-03-14 12:51:55.597707,12:51:55,52.56656016666667,13.427280833333333
